plan,district,modelled_outcome_22,GOV_22,USS_22,WAG_22,WST_22,PRE_20,GOV_18,USS_18,WAG_18,PRE_16,USS_16,GOV_14,WAG_14,GOV_12,PRE_12,USS_12
evers24_wsa,49,-17.888773870400055,-5.571147321241565,-12.337716726694032,-9.506105031898265,-11.381940597434697,-11.507857569126717,1.1778461005499452,10.69212619068426,-2.1822341502045814,-8.734091545777927,-4.668764605722925,-1.2932233243719282,-1.8561261781111726,-4.343539726013551,14.19667519052264,6.673865657443096
evers24_wsa,5,-24.523626009330822,-18.35604714189452,-23.149606641289406,-19.49993138488193,-23.989572061314334,-20.29960568914501,-20.847985942636242,-8.733661238615737,-20.354707542367557,-21.6723060165445,-25.24547616805955,-28.318504626111174,-24.771867772535927,-31.140296606557,-6.425994542205732,-6.225352554506775
evers24_wsa,50,18.479830320773683,23.21569400630915,17.028710815176183,16.845176907517327,16.39790364845797,16.12849807986705,21.21217109208788,28.386938592880195,16.56268201288264,13.63255230144364,19.2188104082833,12.937793319674507,11.052173452479114,7.5116351757456234,22.27706641489559,18.692869768409594
evers24_wsa,51,10.465411663180742,14.35528419828464,7.7890821573131985,9.496038732394362,8.468789430713276,8.367252993152308,15.972487460187306,25.579088019577227,12.081471613887695,9.29015215621678,15.461944920645049,10.296883601097045,9.461781011619191,2.6665847554234787,25.24502101397711,17.77345680600754
evers24_wsa,52,15.247602642946312,17.488694769899897,12.883064335775169,15.672365450364895,11.581808760099987,12.502107868903757,8.707551716783895,18.41157238327002,8.67040840048839,6.449589627146529,-0.18111289508530581,-3.6968625654090426,-4.6093506054470375,-8.502201186579732,10.500326455597369,7.603378032160812
evers24_wsa,53,6.790904962823913,8.556619183043907,3.8848812975626865,7.204784360497374,3.0576022833817387,4.316637699478587,1.7233064967074108,12.572612488460994,2.8608519904535945,-2.0098765606822333,-7.583164235161166,-6.345643204341855,-6.0009909425597865,-10.338972189840733,9.336765102695576,6.274270525096492
evers24_wsa,54,11.063183763226137,12.993872639425042,8.163193139854135,11.712334911556427,7.451962741251833,8.62846104314231,11.572123727126037,20.146126049300523,11.9737208200008,3.942121205475951,-0.5798808913752174,1.1830213919135135,1.370041000525829,3.025349178311126,15.084738118642377,12.048310798335821
evers24_wsa,55,-21.678254157260685,-13.991626304537801,-19.48215751215144,-15.08553581806112,-19.9378150176437,-16.495474692783397,-17.600454636624992,-6.8673407888568905,-16.779290637081868,-20.196323115257986,-25.850158226540792,-23.68710980536174,-23.32491233362241,-25.848638552125554,-10.722637028769782,-11.986909664363148
evers24_wsa,56,-30.05029683577775,-25.121081667958972,-29.54779414324137,-25.64056799055618,-30.346973409079954,-26.691969347355837,-26.894034193608718,-15.47868490228199,-27.26201385474519,-28.716512055935677,-32.497487052491934,-33.10537862488588,-31.7681105841714,-35.65487625709915,-15.340458779175137,-16.090300230921343
evers24_wsa,57,-36.846241141760096,-32.07034146685971,-36.444868263050076,-32.435797111759264,-35.479584874492765,-32.81100095938599,-27.5350462945748,-16.15707434052758,-27.65973477998795,-31.035498118763293,-31.336115527291998,-26.518022740101603,-25.58630102990445,-27.60462582768948,-11.169351381220944,-10.448309954373885
evers24_wsa,58,-42.413347458207134,-38.06754727412639,-41.88414856306159,-39.949094071761735,-42.14564728651255,-38.63133451300542,-45.06993442453334,-33.88325283043179,-44.49354882828743,-40.1537317601856,-45.97885858371883,-51.62292853044107,-51.540654593225895,-50.20754802048917,-38.948949094135,-37.716575176164426
evers24_wsa,59,-50.31311186349082,-48.77091325833822,-51.71514627865077,-49.25227602593294,-51.717340584282844,-48.073272102211504,-50.472047688094094,-39.276209023044466,-49.95615317158725,-46.661848309495056,-50.417347574461836,-54.71384390276346,-53.816013628620105,-54.00896031444884,-42.40815894908585,-40.78866126293729
evers24_wsa,6,-35.37734979988667,-28.87806778340475,-34.050613137545895,-29.335793357933582,-33.61703812200626,-31.593895321619176,-26.164460041473912,-14.357013483598308,-27.387788111605342,-30.784383954154727,-32.17852344118822,-27.826535880227155,-26.66130401751799,-31.35312200793356,-7.418890117760391,-6.463919543221664
evers24_wsa,60,-17.509277986204825,-12.41215779262772,-16.04682303140253,-15.557006092254127,-16.312591475584338,-12.628113758229825,-13.699573771903385,-2.7901299154241888,-10.500541711809314,-14.694592479409685,-18.85014137606032,-18.651892890120042,-18.141320316572674,-17.305609661207725,-3.282463702859817,-5.407941618841755
evers24_wsa,61,-1.6602927249417243,5.766368370356717,0.8060128169446845,3.820945495809819,0.9431759826994124,1.8587040702177093,-7.144565551645194,3.844168358743155,-7.645694102981404,-4.872674619912493,-13.033152845065066,-18.030642750373694,-19.65313512483324,-16.96120464289449,-7.86290322580645,-8.030656447850715
