plan,district,perimeter,area,polsby_popper,schwartzberg,reock,convex_hull
evers24_wsa,92,170547.041759173,694755610.555896,0.3001605035312185,0.5478690569207376,0.1586195506630612,0.7668747653671042
evers24_wsa,93,209550.408190865,1330312066.00379,0.38070306378328167,0.6170113968017784,0.2577157343599081,0.7795185089305557
evers24_wsa,94,174825.89736076,1031635448.02047,0.42415499750019303,0.6512718307283012,0.5861523410059201,0.7934653814987803
evers24_wsa,95,238187.980296478,1242124320.00976,0.27512828776982157,0.5245267274122659,0.26582593011199274,0.7055145393004538
evers24_wsa,96,265645.923540092,2275662093.56194,0.40523908652738344,0.6365839194696826,0.32566695206355084,0.800250095347927
evers24_wsa,97,188455.397101726,848336014.487791,0.3001653859582623,0.5478735127365278,0.4541703224349507,0.8251434304433642
evers24_wsa,98,121076.106585658,384808417.408734,0.3298659841796633,0.5743396070093576,0.4365422800331481,0.7556784290469992
evers24_wsa,99,158725.608192755,589218738.241447,0.2938951465422621,0.5421209703952266,0.5325378746122135,0.7374930568179102
evers24_wss,1,785143.514812819,4768153166.20466,0.0971990378723474,0.3117676023456373,0.1545819481745873,0.5853097308443741
evers24_wss,10,500746.827206073,7553170215.90727,0.37853210817224064,0.6152496307778174,0.3155225623260424,0.7458492829971498
evers24_wss,11,273953.096331224,2379832351.4769,0.39847749751001915,0.63125074060156094,0.2720082122981806,0.8336061548313612
evers24_wss,12,818322.866799126,20143074667.6228,0.37799517177910213,0.6148131193940986,0.3935270825374484,0.8857507505521893
evers24_wss,13,475974.889949659,5960692050.4633,0.33062711311052184,0.5750018374844743,0.3890488750645073,0.7203613642046159
evers24_wss,14,499999.722749013,6542851616.89764,0.3288799578998508,0.5734805645354084,0.3242111782266529,0.7564994807293611
evers24_wss,15,224115.811045568,1941564716.80079,0.4857543989820126,0.6969608303068494,0.41279834231428075,0.8389543755596252
evers24_wss,16,286216.216220016,2015139415.35849,0.30911956220884373,0.5559852176171985,0.46565971912710735,0.7941638481451171
