GEOID20,District
550019502041071,42
550019502041072,42
550019502041073,42
550019502041074,42
550019502041075,42
550019502041076,42
550019502041077,42
550019502041078,42
550019502041079,42
550019502041080,42
550019502041081,42
550019502041082,42
550019502041083,42
550019502011045,42
550019502011046,42
550019502011047,42
550019502011048,42
550019502011049,42
550019502011050,42
550019502011051,42
550019502011063,42
550019502011064,42
550019502011065,42
550019502011066,42
550019502011067,42
550019502011068,42
550019502011069,42
550019502011072,42
550019502011073,42
550019504002029,42
550019504002030,42
550019504002031,42
550019504002035,42
550019502011055,42
550019502011056,42
550019502011059,42
550019502011060,42
550019502012046,42
550019502012047,42
550019502012048,42
550019502012049,42
550019502012052,42
550019502012053,42
550019502012054,42
550019502012055,42
550019502012056,42
550019502012057,42
550019504001013,42
550019504001014,42
550019504002023,42
550019504002024,42
550019504002025,42
550019504002046,42
550019504002047,42
550019504002048,42
550019504002049,42
550019504004012,42
550019504004013,42
550019504004014,42
550019504004015,42
550019504004016,42
550019504004022,42
550019504004023,42
550019504004024,42
550019504004029,42
550019504004030,42
550019504004036,42
550019504004041,42
550019504004044,42
550019504004045,42
550019502011061,42
550019502011062,42
550019502011070,42
550019502011071,42
550019504001010,42
550019504001011,42
550019504001012,42
550019504001016,42
550019504001017,42
550019504001018,42
550019504001019,42
550019504001020,42
550019504001046,42
550019504002000,42
550019504002001,42
550019504002002,42
550019504002003,42
550019504002004,42
550019504002005,42
550019504002006,42
550019504002007,42
550019504002008,42
550019504002009,42
550019504002010,42
550019504002011,42
550019504002012,42
550019504002013,42
550019504002014,42
550019504002015,42
550019504002016,42
550019504002017,42
550019504002018,42
550019504002020,42
550019504002021,42
550019504002022,42
550019504002026,42
550019504002027,42
550019504002028,42
550019504002038,42
550019504002039,42
550019504002040,42
550019504002041,42
550019504002042,42
550019504002043,42
550019504002044,42
550019504002045,42
550019504002060,42
550019504002061,42
550019504002062,42
550019504002063,42
550019504002064,42
550019504002065,42
550019504002066,42
550019504002067,42
550019504002069,42
550019504003059,42
550019504003063,42
550019504003064,42
550019505011000,42
550019505011001,42
550019505011050,42
550019505011051,42
550019505022007,42
550019502012000,42
550019502012001,42
550019502012002,42
550019502012003,42
550019502012004,42
550019502012016,42
550019502012017,42
550019502012018,42
550019502012019,42
550019502012020,42
550019502012038,42
550019502012039,42
550019502012040,42
550019502012041,42
550019502012042,42
550019502012043,42
550019502012044,42
550019502012045,42
550019502012050,42
550019502012051,42
550019502041012,42
550019502041013,42
550019502041014,42
550019502041035,42
550019502041036,42
550019502041037,42
550019502041038,42
550019502041039,42
550019502041040,42
550019502041092,42
550019502041093,42
550019502041094,42
550019502041095,42
550019502041096,42
550019502041098,42
550019502041099,42
550019502041100,42
550019502041101,42
550019502041115,42
550019502041116,42
550019502041121,42
550019502041122,42
550019502041123,42
550019502041124,42
550019502041125,42
550019502012005,42
550019502012006,42
550019502012007,42
550019502012008,42
550019502012009,42
550019502012014,42
550019502012015,42
550019502012025,42
550019502012026,42
550019502012027,42
550019502012028,42
550019502012029,42
550019502012030,42
550019502012031,42
550019502012032,42
550019502012036,42
550019502012037,42
550019502032046,42
550019502032047,42
550019502032048,42
550019502032049,42
550019502032050,42
550019502032052,42
550019502032053,42
550019502032054,42
550019502032055,42
550019502032056,42
550019502032057,42
550019502032058,42
550019502032059,42
550019502032060,42
550019502032061,42
550019502032062,42
550019502032063,42
550019502032064,42
550019502032065,42
550019502032066,42
550019502032067,42
550019502032068,42
550019502041041,42
550019502041042,42
550019502041043,42
550019502041044,42
550019502041045,42
550019502041046,42
550019502041047,42
550019502041048,42
550019502041049,42
550019502041064,42
550019502041091,42
550019502041126,42
550019504004000,42
550019504004001,42
550019504004002,42
550019504004003,42
550019504004004,42
550019504004005,42
550019504004006,42
550019504004007,42
550019504004009,42
550019504004010,42
550019504004017,42
550019504004018,42
550019504004019,42
550019504004020,42
550019504004021,42
550019502031001,42
550019502032000,42
550019502032001,42
550019502032002,42
550019502032003,42
550019502032004,42
550019502032005,42
550019502032007,42
550019502032008,42
550019502032009,42
550019502032010,42
550019502032011,42
550019502032012,42
550019502032013,42
550019502032014,42
550019502032015,42
550019502032016,42
550019502032017,42
550019502032018,42
550019502032019,42
550019502032020,42
550019502032021,42
550019502032024,42
550019502032025,42
550019502032027,42
550019502032028,42
550019502032029,42
550019502032030,42
550019502032031,42
550019502032032,42
550019502032040,42
550019502032041,42
550019502032042,42
550019502032043,42
550019502041000,42
550019502041001,42
550019502041002,42
550019502041003,42
550019502041016,42
550019502041017,42
550019502041018,42
550019502041027,42
550019502031003,42
550019502031004,42
550019502031005,42
550019502031006,42
550019502031007,42
550019502031008,42
550019502031009,42
550019502031010,42
550019502031011,42
550019502031012,42
550019502031013,42
550019502031014,42
550019502031015,42
550019502031016,42
550019502031017,42
550019502031018,42
550019502031019,42
550019502032022,42
550019502032023,42
550019502032026,42
550019502032033,42
550019502032034,42
550019502042000,42
550019502042001,42
550019502042002,42
550019502042038,42
550019502042039,42
550019502042040,42
550019502042041,42
550019502042042,42
550019502042043,42
550019502042044,42
550019502042045,42
550019502042046,42
550019502042047,42
550019502042057,42
550019502031020,42
550019502031021,42
550019502031022,42
550019502031023,42
550019502031024,42
