plan,district,race,votes
evers24_wsa,45,WAGTOT22,20165
evers24_wsa,45,WSTDEM22,10656
evers24_wsa,45,WSTREP22,8811
evers24_wsa,45,WSTTOT22,20071
evers24_wsa,46,GOVDEM22,16778.09288300083
evers24_wsa,46,GOVREP22,12588.68563136162
evers24_wsa,46,GOVTOT22,29668.349763301056
evers24_wsa,46,USSDEM22,16156.279860372098
evers24_wsa,46,USSREP22,13332.290550860842
evers24_wsa,46,USSTOT22,29550.78271776454
evers24_wsa,46,WAGDEM22,16156.866416517127
evers24_wsa,46,WAGREP22,13234.191426054262
evers24_wsa,46,WAGTOT22,29404.847374158395
evers24_wsa,46,WSTDEM22,15417.36985945121
evers24_wsa,46,WSTREP22,12934.784264995904
evers24_wsa,46,WSTTOT22,29072.515732564967
evers24_wsa,47,GOVDEM22,23186.42915995084
evers24_wsa,47,GOVREP22,7760.8599576971965
evers24_wsa,47,GOVTOT22,31207.19729545256
evers24_wsa,47,USSDEM22,22577.120760454844
evers24_wsa,47,USSREP22,8487.801785811082
evers24_wsa,47,USSTOT22,31140.020911346644
evers24_wsa,47,WAGDEM22,22423.714031277967
evers24_wsa,47,WAGREP22,8528.132476694187
evers24_wsa,47,WAGTOT22,30974.586193621613
evers24_wsa,47,WSTDEM22,21946.32619731647
evers24_wsa,47,WSTREP22,8155.515682127177
evers24_wsa,47,WSTTOT22,30656.33292107275
evers24_wsa,48,GOVDEM22,20599.160226201697
evers24_wsa,48,GOVREP22,8311.875353440151
evers24_wsa,48,GOVTOT22,29155.040763430727
evers24_wsa,48,USSDEM22,20025.902214891612
evers24_wsa,48,USSREP22,8952.137606032045
evers24_wsa,48,USSTOT22,29050.040763430727
evers24_wsa,48,WAGDEM22,19846.394203581527
evers24_wsa,48,WAGREP22,9031.893261074458
evers24_wsa,48,WAGTOT22,28898.28793590952
evers24_wsa,48,WSTDEM22,19124.37912346843
evers24_wsa,48,WSTREP22,8867.139962299718
evers24_wsa,48,WSTTOT22,28605.53039585297
evers24_wsa,49,GOVDEM22,11118
evers24_wsa,49,GOVREP22,12448
evers24_wsa,49,GOVTOT22,23873
evers24_wsa,49,USSDEM22,10442
evers24_wsa,49,USSREP22,13388
evers24_wsa,49,USSTOT22,23878
evers24_wsa,49,WAGDEM22,10703
evers24_wsa,49,WAGREP22,12953
evers24_wsa,49,WAGTOT22,23669
evers24_wsa,49,WSTDEM22,10120
evers24_wsa,49,WSTREP22,12791
evers24_wsa,49,WSTTOT22,23467
evers24_wsa,5,GOVDEM22,10802.863224807967
evers24_wsa,5,GOVREP22,15722.695247722617
evers24_wsa,5,GOVTOT22,26802.241162728205
evers24_wsa,5,USSDEM22,10257.238122773771
evers24_wsa,5,USSREP22,16439.514897579913
evers24_wsa,5,USSTOT22,26705.753020353684
evers24_wsa,5,WAGDEM22,10662.078124703467
evers24_wsa,5,WAGREP22,15827.776623961965
evers24_wsa,5,WAGTOT22,26490.85474866543
evers24_wsa,5,WSTDEM22,9646.436565554692
evers24_wsa,5,WSTREP22,15942.616849994387
evers24_wsa,5,WSTTOT22,26245.488116034136
evers24_wsa,50,GOVDEM22,18558
evers24_wsa,50,GOVREP22,11493
evers24_wsa,50,GOVTOT22,30432
evers24_wsa,50,USSDEM22,17715
evers24_wsa,50,USSREP22,12549
evers24_wsa,50,USSTOT22,30337
evers24_wsa,50,WAGDEM22,17611
evers24_wsa,50,WAGREP22,12531
evers24_wsa,50,WAGTOT22,30157
evers24_wsa,50,WSTDEM22,16925
evers24_wsa,50,WSTREP22,12044
evers24_wsa,50,WSTTOT22,29766
evers24_wsa,51,GOVDEM22,15582
evers24_wsa,51,GOVREP22,11632
evers24_wsa,51,GOVTOT22,27516
evers24_wsa,51,USSDEM22,14756
evers24_wsa,51,USSREP22,12620
evers24_wsa,51,USSTOT22,27423
evers24_wsa,51,WAGDEM22,14922
evers24_wsa,51,WAGREP22,12333
evers24_wsa,51,WAGTOT22,27264
evers24_wsa,51,WSTDEM22,14307
evers24_wsa,51,WSTREP22,12025
evers24_wsa,51,WSTTOT22,26946
evers24_wsa,52,GOVDEM22,14655.097537064938
evers24_wsa,52,GOVREP22,10249.688025564683
evers24_wsa,52,GOVTOT22,25190.041735318526
evers24_wsa,52,USSDEM22,14149.851674342233
evers24_wsa,52,USSREP22,10920.076676030918
evers24_wsa,52,USSTOT22,25069.928350373153
evers24_wsa,52,WAGDEM22,14424.752921801328
evers24_wsa,52,WAGREP22,10515.954161760477
evers24_wsa,52,WAGTOT22,24940.707083561807
evers24_wsa,52,WSTDEM22,13437.85695859015
evers24_wsa,52,WSTREP22,10573.953116043796
evers24_wsa,52,WSTTOT22,24727.60431352199
evers24_wsa,53,GOVDEM22,13218.829937356235
evers24_wsa,53,GOVREP22,11104.047345335734
evers24_wsa,53,GOVTOT22,24715.165496803093
evers24_wsa,53,USSDEM22,12758.961923175455
evers24_wsa,53,USSREP22,11801.96317421147
evers24_wsa,53,USSTOT22,24633.925097386928
evers24_wsa,53,WAGDEM22,13089.537343484908
evers24_wsa,53,WAGREP22,11328.874515741065
evers24_wsa,53,WAGTOT22,24437.411859225973
evers24_wsa,53,WSTDEM22,12053.902100967534
evers24_wsa,53,WSTREP22,11314.333808691039
evers24_wsa,53,WSTTOT22,24187.85125508617
evers24_wsa,54,GOVDEM22,11882.797179341795
evers24_wsa,54,GOVREP22,9118.362852061018
evers24_wsa,54,GOVTOT22,21274.907058063185
evers24_wsa,54,USSDEM22,11431.112182822506
evers24_wsa,54,USSREP22,9701.752078592208
evers24_wsa,54,USSTOT22,21184.84855867565
evers24_wsa,54,WAGDEM22,11750.251080757023
evers24_wsa,54,WAGREP22,9283.824575535471
evers24_wsa,54,WAGTOT22,21058.367301194197
evers24_wsa,54,WSTDEM22,10864.653236503042
evers24_wsa,54,WSTREP22,9315.867841917687
evers24_wsa,54,WSTTOT22,20783.590154198464
evers24_wsa,55,GOVDEM22,13128.267781288128
